IDP:Integer;PROV_INE:Integer;PROVINCIA:String:set:size=60
1;03;"ALICANTE"
2;03;"ALACANT"
3;03;"Alicante/Alacant"
4;03;"Alicante"
5;03;"Alacant"
6;12;"CASTELLÓN/CASTELLÓ"
7;12;"CASTELLÓN"
8;12;"CASTELLÓ"
9;12;"Castellón/Castelló"
10;12;"Castellón"
11;12;"Castelló"
12;12;"CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA"
13;12;"CASTELLÓN DE LA PLANA"
14;12;"CASTELLÓ DE LA PLANA"
15;12;"Castellón de la Plana/Castelló de la Plana"
16;12;"Castellón de la Plana"
17;12;"Castelló de la Plana"
18;46;"VALENCIA/VALÈNCIA"
19;46;"VALENCIA"
20;46;"VALÈNCIA"
21;46;"Valencia/València"
22;46;"Valencia"
23;46;"València"
